,approach,fold,log,mcc
365,Theis_no_resource,0,bpi_challenge_2012_complete,0.7251230676576063
366,Theis_no_resource,3,bpi_challenge_2012_complete,0.7276665763397762
367,Theis_no_resource,2,bpi_challenge_2012_complete,0.732851101683224
368,Theis_no_resource,4,bpi_challenge_2012_complete,0.732535614035448
369,Theis_no_resource,1,bpi_challenge_2012_complete,0.7316496274766093
370,Theis_no_resource,4,bpi_challenge_2012_a,0.6252301913760342
371,Theis_no_resource,2,bpi_challenge_2012_a,0.6221462065990907
372,Theis_no_resource,1,bpi_challenge_2012_a,0.6270387873508652
373,Theis_no_resource,3,bpi_challenge_2012_a,0.6244798268013952
374,Theis_no_resource,0,bpi_challenge_2012_a,0.6338822299270636
375,Theis_no_resource,0,bpi_challenge_2013_incidents,0.4989023758946154
376,Theis_no_resource,2,bpi_challenge_2013_incidents,0.49754810645863407
377,Theis_no_resource,4,bpi_challenge_2013_incidents,0.48716230025664853
378,Theis_no_resource,1,bpi_challenge_2013_incidents,0.49394920807568643
379,Theis_no_resource,3,bpi_challenge_2013_incidents,0.49350118872233356
380,Theis_no_resource,3,helpdesk,0.6627961612760825
381,Theis_no_resource,2,helpdesk,0.697376245992866
382,Theis_no_resource,0,helpdesk,0.6974874291032368
383,Theis_no_resource,1,helpdesk,0.6940467813520513
384,Theis_no_resource,4,helpdesk,0.686751898382867
385,Theis_no_resource,4,bpi_challenge_2012,0.8264065619728483
386,Theis_no_resource,0,bpi_challenge_2012,0.8218633477915871
387,Theis_no_resource,3,bpi_challenge_2012,0.8031556638027
388,Theis_no_resource,1,bpi_challenge_2012,0.8255879505790833
389,Theis_no_resource,2,bpi_challenge_2012,0.8257426980908955
390,Theis_no_resource,3,env_permit,0.8264301164539605
391,Theis_no_resource,4,env_permit,0.8375783947610624
392,Theis_no_resource,1,env_permit,0.8259678381861829
393,Theis_no_resource,0,env_permit,0.8230687767675731
394,Theis_no_resource,2,env_permit,0.8412116979060227
395,Theis_no_resource,2,bpi_challenge_2012_w,0.8642958045442639
396,Theis_no_resource,1,bpi_challenge_2012_w,0.8579282032964359
397,Theis_no_resource,4,bpi_challenge_2012_w,0.8333909960069906
398,Theis_no_resource,3,bpi_challenge_2012_w,0.8138066442753921
399,Theis_no_resource,0,bpi_challenge_2012_w,0.865835443239832
400,Theis_no_resource,4,bpi_challenge_2012_w_complete,0.7231543375347499
401,Theis_no_resource,2,bpi_challenge_2012_w_complete,0.7317378273772965
402,Theis_no_resource,1,bpi_challenge_2012_w_complete,0.7249324208106238
403,Theis_no_resource,3,bpi_challenge_2012_w_complete,0.7324098368145411
404,Theis_no_resource,0,bpi_challenge_2012_w_complete,0.7235893288291051
405,Theis_no_resource,4,sepsis,0.49798511457927713
406,Theis_no_resource,3,sepsis,0.4740676500103843
407,Theis_no_resource,1,sepsis,0.4456253871931558
408,Theis_no_resource,2,sepsis,0.44482174006683134
409,Theis_no_resource,0,sepsis,0.5330812194346701
410,Theis_no_resource,1,bpi_challenge_2013_closed_problems,0.4120758076318392
411,Theis_no_resource,2,bpi_challenge_2013_closed_problems,0.36897992505401195
412,Theis_no_resource,4,bpi_challenge_2013_closed_problems,0.4454122334882049
413,Theis_no_resource,3,bpi_challenge_2013_closed_problems,0.45899877002314154
414,Theis_no_resource,0,bpi_challenge_2013_closed_problems,0.46293197193551405
415,Theis_no_resource,3,bpi_challenge_2012_o,0.7476250753236053
416,Theis_no_resource,4,bpi_challenge_2012_o,0.752439779128141
417,Theis_no_resource,1,bpi_challenge_2012_o,0.7552832781439365
418,Theis_no_resource,2,bpi_challenge_2012_o,0.748473463969813
419,Theis_no_resource,0,bpi_challenge_2012_o,0.752396925533909
420,Camargo,0,bpi_challenge_2012_complete,0.7636531449055295
421,Camargo,1,bpi_challenge_2012_complete,0.765106912794438
422,Camargo,2,bpi_challenge_2012_complete,0.7599910642907861
423,Camargo,3,bpi_challenge_2012_complete,0.7590333950124912
424,Camargo,4,bpi_challenge_2012_complete,0.7648919870042828
425,Camargo,0,bpi_challenge_2012_a,0.7113530205870006
426,Camargo,1,bpi_challenge_2012_a,0.7513760982337796
427,Camargo,2,bpi_challenge_2012_a,0.7084980957377507
428,Camargo,3,bpi_challenge_2012_a,0.7546564629336524
429,Camargo,4,bpi_challenge_2012_a,0.737517146962813
430,Camargo,0,bpi_challenge_2013_incidents,0.5268135624147877
431,Camargo,1,bpi_challenge_2013_incidents,0.5268550102178878
432,Camargo,2,bpi_challenge_2013_incidents,0.5278106206588266
433,Camargo,3,bpi_challenge_2013_incidents,0.5316968246028444
434,Camargo,4,bpi_challenge_2013_incidents,0.5322713120323556
435,Camargo,0,helpdesk,0.7871094655093404
436,Camargo,1,helpdesk,0.7838656139832263
437,Camargo,2,helpdesk,0.78487018611403
438,Camargo,3,helpdesk,0.7671683472123741
439,Camargo,4,helpdesk,0.7956436633944733
440,Camargo,0,bpi_challenge_2012,0.8223684070507423
441,Camargo,1,bpi_challenge_2012,0.8261692758886933
442,Camargo,2,bpi_challenge_2012,0.8337347781023023
443,Camargo,3,bpi_challenge_2012,0.8285813323307369
444,Camargo,4,bpi_challenge_2012,0.813809076604259
445,Camargo,0,env_permit,0.8212443528452527
446,Camargo,1,env_permit,0.8320568585511419
447,Camargo,2,env_permit,0.8296547160703317
448,Camargo,3,env_permit,0.8563492122320062
449,Camargo,4,env_permit,0.8410846684940568
450,Camargo,0,bpi_challenge_2012_w,0.7954441633994345
451,Camargo,1,bpi_challenge_2012_w,0.7932042012004847
452,Camargo,2,bpi_challenge_2012_w,0.6623129532768014
453,Camargo,3,bpi_challenge_2012_w,0.8052788805940073
454,Camargo,4,bpi_challenge_2012_w,0.6570252540968549
455,Camargo,0,bpi_challenge_2012_w_complete,0.4961768975706883
