accuracy,approach,fold,log
0.8587140439932318,Theis_no_resource,1,env_permit
0.8552859618717504,Theis_no_resource,0,env_permit
0.8708609271523179,Theis_no_resource,2,env_permit
0.7973493328557356,Theis_no_resource,4,bpi_challenge_2012_w_complete
0.8061252900232019,Theis_no_resource,2,bpi_challenge_2012_w_complete
0.7983939137785292,Theis_no_resource,1,bpi_challenge_2012_w_complete
0.803746234939759,Theis_no_resource,3,bpi_challenge_2012_w_complete
0.7974288337924702,Theis_no_resource,0,bpi_challenge_2012_w_complete
0.7806480852028099,Theis_no_resource,3,bpi_challenge_2012_o
0.7862336403296171,Theis_no_resource,4,bpi_challenge_2012_o
0.786013986013986,Theis_no_resource,1,bpi_challenge_2012_o
0.7821591728780957,Theis_no_resource,2,bpi_challenge_2012_o
0.783719829626124,Theis_no_resource,0,bpi_challenge_2012_o
0.7478409173379781,Theis_no_resource,0,bpi_challenge_2012_complete
0.7505455083398055,Theis_no_resource,3,bpi_challenge_2012_complete
0.7556274670175314,Theis_no_resource,2,bpi_challenge_2012_complete
0.7548888968919941,Theis_no_resource,4,bpi_challenge_2012_complete
0.7541566416490106,Theis_no_resource,1,bpi_challenge_2012_complete
0.5717948717948718,Theis_no_resource,1,bpi_challenge_2013_closed_problems
0.5588235294117647,Theis_no_resource,2,bpi_challenge_2013_closed_problems
0.610248447204969,Theis_no_resource,4,bpi_challenge_2013_closed_problems
0.6194331983805668,Theis_no_resource,3,bpi_challenge_2013_closed_problems
0.6135135135135135,Theis_no_resource,0,bpi_challenge_2013_closed_problems
0.59853515625,Theis_no_resource,0,bpi_challenge_2013_incidents
0.5983656174334141,Theis_no_resource,2,bpi_challenge_2013_incidents
0.5880161127895267,Theis_no_resource,4,bpi_challenge_2013_incidents
0.591922290388548,Theis_no_resource,1,bpi_challenge_2013_incidents
0.5934866988544921,Theis_no_resource,3,bpi_challenge_2013_incidents
0.568903173965448,Theis_no_resource,4,sepsis
0.5508601346297681,Theis_no_resource,3,sepsis
0.5241452238279873,Theis_no_resource,1,sepsis
0.5421776291341509,Theis_no_resource,2,sepsis
0.6009079653322328,Theis_no_resource,0,sepsis
0.8300754194243497,Camargo,0,bpi_challenge_2012
0.8340525399348929,Camargo,1,bpi_challenge_2012
0.8410429090088226,Camargo,2,bpi_challenge_2012
0.8361622470951097,Camargo,3,bpi_challenge_2012
0.8227723148183302,Camargo,4,bpi_challenge_2012
0.8320860617399439,Camargo,0,helpdesk
0.8301039697542533,Camargo,1,helpdesk
0.8298813125436351,Camargo,2,helpdesk
0.8159907300115875,Camargo,3,helpdesk
0.8384578997161779,Camargo,4,helpdesk
0.8133162382968573,Camargo,0,bpi_challenge_2012_w
0.8113703031149602,Camargo,1,bpi_challenge_2012_w
0.6874588052010306,Camargo,2,bpi_challenge_2012_w
0.8226632328435085,Camargo,3,bpi_challenge_2012_w
0.6849466430170684,Camargo,4,bpi_challenge_2012_w
0.7426260315385244,Camargo,0,bpi_challenge_2012_a
0.7753891771682728,Camargo,1,bpi_challenge_2012_a
0.7388503872808806,Camargo,2,bpi_challenge_2012_a
0.7789166666666667,Camargo,3,bpi_challenge_2012_a
0.7630285152409046,Camargo,4,bpi_challenge_2012_a
0.8452941176470589,Camargo,0,env_permit
0.8530259365994236,Camargo,1,env_permit
0.8521246458923513,Camargo,2,env_permit
0.8759598346131128,Camargo,3,env_permit
0.8628266033254157,Camargo,4,env_permit
0.6231549492829661,Camargo,0,bpi_challenge_2012_w_complete
0.6643104915243144,Camargo,1,bpi_challenge_2012_w_complete
0.7394519969007537,Camargo,2,bpi_challenge_2012_w_complete
0.6972352857346444,Camargo,3,bpi_challenge_2012_w_complete
0.7231653888280394,Camargo,4,bpi_challenge_2012_w_complete
0.8194801026957638,Camargo,0,bpi_challenge_2012_o
0.8157560355781448,Camargo,1,bpi_challenge_2012_o
0.7982157339821574,Camargo,2,bpi_challenge_2012_o
0.821467518305032,Camargo,3,bpi_challenge_2012_o
0.8127853881278538,Camargo,4,bpi_challenge_2012_o
0.7801122156492041,Camargo,0,bpi_challenge_2012_complete
0.7815796632711665,Camargo,1,bpi_challenge_2012_complete
0.7773647129365913,Camargo,2,bpi_challenge_2012_complete
0.776128652433923,Camargo,3,bpi_challenge_2012_complete
0.7812490530589982,Camargo,4,bpi_challenge_2012_complete
0.5082335329341318,Camargo,0,bpi_challenge_2013_closed_problems
0.5486918604651163,Camargo,1,bpi_challenge_2013_closed_problems
0.563953488372093,Camargo,2,bpi_challenge_2013_closed_problems
0.5782771535580524,Camargo,3,bpi_challenge_2013_closed_problems
0.534357316087308,Camargo,4,bpi_challenge_2013_closed_problems
0.6646056401749361,Camargo,0,bpi_challenge_2013_incidents
0.6655210123418216,Camargo,1,bpi_challenge_2013_incidents
0.6667697541363847,Camargo,2,bpi_challenge_2013_incidents
0.6681634155318366,Camargo,3,bpi_challenge_2013_incidents
0.6691891891891892,Camargo,4,bpi_challenge_2013_incidents
0.7411158386768143,Khan,4,bpi_challenge_2012
0.1270715993354674,Khan,0,bpi_challenge_2012
0.0286749770998446,Khan,1,bpi_challenge_2012
0.4608642317280677,Khan,2,bpi_challenge_2012
0.7871009931744799,Khan,3,bpi_challenge_2012
0.784348337746396,Khan,3,helpdesk
0.8024253179532682,Khan,2,helpdesk
0.8003618817852834,Khan,1,helpdesk
0.8061594202898551,Khan,4,helpdesk
0.8053571428571429,Khan,0,helpdesk
0.4127809113191389,Khan,1,bpi_challenge_2012_w
0.5860848297612151,Khan,3,bpi_challenge_2012_w
0.7227108776814529,Khan,0,bpi_challenge_2012_w
0.6105387012656618,Khan,2,bpi_challenge_2012_w
0.6755083179297597,Khan,4,bpi_challenge_2012_w
0.7543914354017254,Khan,0,bpi_challenge_2012_a
0.7485136121831647,Khan,4,bpi_challenge_2012_a
0.7398486624746883,Khan,3,bpi_challenge_2012_a
0.7525912106135987,Khan,2,bpi_challenge_2012_a
