,approach,accuracy,fold,log
22,DOGE,0.3980451599377416,2,bpi_challenge_2012_w
23,DOGE,0.409528,3,bpi_challenge_2012_w
24,DOGE,0.3950792893250377,4,bpi_challenge_2012_w
25,DOGE,0.37731129207481967,0,bpi_challenge_2012_w_complete
26,DOGE,0.3777208081501868,1,bpi_challenge_2012_w_complete
27,DOGE,0.3903029102072895,2,bpi_challenge_2012_w_complete
28,DOGE,0.38580533952269713,3,bpi_challenge_2012_w_complete
29,DOGE,0.38359988586160404,4,bpi_challenge_2012_w_complete
30,DOGE,0.6845841389529106,0,bpi_challenge_2013_closed_problems
31,DOGE,0.6835611516114402,1,bpi_challenge_2013_closed_problems
32,DOGE,0.6943123272397614,2,bpi_challenge_2013_closed_problems
33,DOGE,0.6907513098070374,3,bpi_challenge_2013_closed_problems
34,DOGE,0.7135004186534216,4,bpi_challenge_2013_closed_problems
35,DOGE,0.6207171827239574,0,bpi_challenge_2013_incidents
36,DOGE,0.6302890944334487,1,bpi_challenge_2013_incidents
37,DOGE,0.6328231093706808,2,bpi_challenge_2013_incidents
38,DOGE,0.5998626827671995,3,bpi_challenge_2013_incidents
39,DOGE,0.6315180466500434,4,bpi_challenge_2013_incidents
40,DOGE,0.836111490276163,0,env_permit
41,DOGE,0.8244126241617341,1,env_permit
42,DOGE,0.8297186021869408,2,env_permit
43,DOGE,0.8536023715734289,3,env_permit
44,DOGE,0.8407732986860065,4,env_permit
45,DOGE,0.8992009659865132,0,helpdesk
46,DOGE,0.9038547949110332,1,helpdesk
47,DOGE,0.8973851265740957,2,helpdesk
48,DOGE,0.8906798731074514,3,helpdesk
49,DOGE,0.9034134936334558,4,helpdesk
50,DOGE,0.498529187286745,0,nasa
51,DOGE,0.4850185633190951,1,nasa
52,DOGE,0.4899767982701785,2,nasa
53,DOGE,0.5117791994313549,3,nasa
54,DOGE,0.5053526215059932,4,nasa
55,DOGE,0.438433757571554,0,sepsis
56,DOGE,0.4118293675037386,1,sepsis
57,DOGE,0.4182852675380259,2,sepsis
58,DOGE,0.433434148207172,3,sepsis
59,DOGE,0.44042439315713844,4,sepsis
