,approach,brier,fold,log
343,Theis_resource,0.23841173121441683,3,bpi_challenge_2012_w_complete
344,Theis_resource,0.23216980297506604,0,bpi_challenge_2012_w_complete
345,Theis_resource,0.5043498022274853,4,sepsis
346,Theis_resource,0.5263520146123827,3,sepsis
347,Theis_resource,0.5547356502098945,1,sepsis
348,Theis_resource,0.523246008273256,2,sepsis
349,Theis_resource,0.5002209590553273,0,sepsis
350,Theis_resource,0.659274176688659,0,bpi_challenge_2013_incidents
351,Theis_resource,0.6422919930875108,2,bpi_challenge_2013_incidents
352,Theis_resource,0.6618295619299069,4,bpi_challenge_2013_incidents
353,Theis_resource,0.6694967134885881,1,bpi_challenge_2013_incidents
354,Theis_resource,0.6697637180674496,3,bpi_challenge_2013_incidents
355,Theis_resource,0.25611713603492187,4,bpi_challenge_2012
356,Theis_resource,0.2592202320518369,0,bpi_challenge_2012
357,Theis_resource,0.26163589690221434,3,bpi_challenge_2012
358,Theis_resource,0.25865610710326886,1,bpi_challenge_2012
359,Theis_resource,0.2559534133594964,2,bpi_challenge_2012
360,Theis_no_resource,0.20267792423632805,2,bpi_challenge_2012_w
361,Theis_no_resource,0.20371355221867565,1,bpi_challenge_2012_w
362,Theis_no_resource,0.23802024839456346,4,bpi_challenge_2012_w
363,Theis_no_resource,0.2732620248159675,3,bpi_challenge_2012_w
364,Theis_no_resource,0.19394817580936022,0,bpi_challenge_2012_w
365,Theis_no_resource,0.21340896979327234,3,env_permit
366,Theis_no_resource,0.21774635249047367,4,env_permit
367,Theis_no_resource,0.2312665567774914,1,env_permit
368,Theis_no_resource,0.2395154800272889,0,env_permit
369,Theis_no_resource,0.21851484688680567,2,env_permit
370,Theis_no_resource,0.3510822074617962,3,helpdesk
371,Theis_no_resource,0.32476419380295213,2,helpdesk
372,Theis_no_resource,0.3176476160035901,0,helpdesk
373,Theis_no_resource,0.3205643801569053,1,helpdesk
374,Theis_no_resource,0.3227472746103133,4,helpdesk
375,Theis_no_resource,0.12701338983062846,3,nasa
376,Theis_no_resource,0.12678053379972534,0,nasa
377,Theis_no_resource,0.12712400088695172,1,nasa
378,Theis_no_resource,0.1261391051129183,2,nasa
379,Theis_no_resource,0.12578077592471665,4,nasa
380,Theis_no_resource,0.27849974214402795,3,bpi_challenge_2012_o
381,Theis_no_resource,0.28432555316037017,4,bpi_challenge_2012_o
382,Theis_no_resource,0.27759589102219484,1,bpi_challenge_2012_o
383,Theis_no_resource,0.2767785978547846,2,bpi_challenge_2012_o
384,Theis_no_resource,0.27790291519831506,0,bpi_challenge_2012_o
385,Theis_no_resource,0.5798849493230656,1,bpi_challenge_2013_closed_problems
386,Theis_no_resource,0.583046267997872,2,bpi_challenge_2013_closed_problems
387,Theis_no_resource,0.5523208743784842,4,bpi_challenge_2013_closed_problems
388,Theis_no_resource,0.5277972635976661,3,bpi_challenge_2013_closed_problems
389,Theis_no_resource,0.5558577454211735,0,bpi_challenge_2013_closed_problems
390,Theis_no_resource,0.34342890255371944,0,bpi_challenge_2012_complete
391,Theis_no_resource,0.34027124885018756,3,bpi_challenge_2012_complete
392,Theis_no_resource,0.337981271510174,2,bpi_challenge_2012_complete
393,Theis_no_resource,0.3362331147421232,4,bpi_challenge_2012_complete
394,Theis_no_resource,0.3358643917639018,1,bpi_challenge_2012_complete
395,Theis_no_resource,0.42368299663991865,4,bpi_challenge_2012_a
396,Theis_no_resource,0.4243148473355465,2,bpi_challenge_2012_a
397,Theis_no_resource,0.42104738798920427,1,bpi_challenge_2012_a
398,Theis_no_resource,0.43021030769281654,3,bpi_challenge_2012_a
399,Theis_no_resource,0.4189095026951955,0,bpi_challenge_2012_a
400,Theis_no_resource,0.29746368338931334,4,bpi_challenge_2012_w_complete
401,Theis_no_resource,0.28827097974153787,2,bpi_challenge_2012_w_complete
402,Theis_no_resource,0.2982761522404547,1,bpi_challenge_2012_w_complete
403,Theis_no_resource,0.2923772504702935,3,bpi_challenge_2012_w_complete
404,Theis_no_resource,0.2978562244055679,0,bpi_challenge_2012_w_complete
405,Theis_no_resource,0.5228081774669705,4,sepsis
406,Theis_no_resource,0.5402998415912175,3,sepsis
407,Theis_no_resource,0.5729964364004807,1,sepsis
408,Theis_no_resource,0.543939524495933,2,sepsis
409,Theis_no_resource,0.5039363861553873,0,sepsis
410,Theis_no_resource,0.5037947698309571,0,bpi_challenge_2013_incidents
411,Theis_no_resource,0.5036933097358215,2,bpi_challenge_2013_incidents
412,Theis_no_resource,0.5083833882194893,4,bpi_challenge_2013_incidents
413,Theis_no_resource,0.5079004869656126,1,bpi_challenge_2013_incidents
414,Theis_no_resource,0.505176775560512,3,bpi_challenge_2013_incidents
415,Theis_no_resource,0.2250554388249496,4,bpi_challenge_2012
416,Theis_no_resource,0.22823525511072038,0,bpi_challenge_2012
417,Theis_no_resource,0.2522578487486481,3,bpi_challenge_2012
418,Theis_no_resource,0.2172021534643724,1,bpi_challenge_2012
419,Theis_no_resource,0.22446970501078986,2,bpi_challenge_2012
420,Camargo,0.2748815850944379,0,bpi_challenge_2012_w
421,Camargo,0.2787497769876984,1,bpi_challenge_2012_w
422,Camargo,0.3922549713229727,2,bpi_challenge_2012_w
423,Camargo,0.2625662809436229,3,bpi_challenge_2012_w
424,Camargo,0.4364179035870081,4,bpi_challenge_2012_w
425,Camargo,0.2377307339022721,0,env_permit
