,approach,fold,log,recall
356,Theis_resource,3,sepsis,0.5755422587883321
357,Theis_resource,1,sepsis,0.5481142051462813
358,Theis_resource,2,sepsis,0.5893719806763285
359,Theis_resource,0,sepsis,0.599669830788279
360,Theis_no_resource,3,nasa,0.8915177263404629
361,Theis_no_resource,0,nasa,0.888536908796228
362,Theis_no_resource,1,nasa,0.8877124747911265
363,Theis_no_resource,2,nasa,0.8901227352425483
364,Theis_no_resource,4,nasa,0.8900569426193605
365,Theis_no_resource,4,bpi_challenge_2012_w_complete,0.7973493328557356
366,Theis_no_resource,2,bpi_challenge_2012_w_complete,0.8061252900232019
367,Theis_no_resource,1,bpi_challenge_2012_w_complete,0.7983939137785292
368,Theis_no_resource,3,bpi_challenge_2012_w_complete,0.803746234939759
369,Theis_no_resource,0,bpi_challenge_2012_w_complete,0.7974288337924702
370,Theis_no_resource,1,bpi_challenge_2013_closed_problems,0.5717948717948718
371,Theis_no_resource,2,bpi_challenge_2013_closed_problems,0.5588235294117647
372,Theis_no_resource,4,bpi_challenge_2013_closed_problems,0.610248447204969
373,Theis_no_resource,3,bpi_challenge_2013_closed_problems,0.6194331983805668
374,Theis_no_resource,0,bpi_challenge_2013_closed_problems,0.6135135135135135
375,Theis_no_resource,4,bpi_challenge_2012_a,0.6552367288378766
376,Theis_no_resource,2,bpi_challenge_2012_a,0.6486986203953918
377,Theis_no_resource,1,bpi_challenge_2012_a,0.6545981173062998
378,Theis_no_resource,3,bpi_challenge_2012_a,0.6537097250960686
379,Theis_no_resource,0,bpi_challenge_2012_a,0.6630015707553906
380,Theis_no_resource,3,helpdesk,0.7692307692307693
381,Theis_no_resource,2,helpdesk,0.7918864097363083
382,Theis_no_resource,0,helpdesk,0.7937806873977087
383,Theis_no_resource,1,helpdesk,0.7941666666666667
384,Theis_no_resource,4,helpdesk,0.7895615866388309
385,Theis_no_resource,3,env_permit,0.8615249780893953
386,Theis_no_resource,4,env_permit,0.8683055311676909
387,Theis_no_resource,1,env_permit,0.8587140439932318
388,Theis_no_resource,0,env_permit,0.8552859618717504
389,Theis_no_resource,2,env_permit,0.8708609271523179
390,Theis_no_resource,3,bpi_challenge_2012_o,0.7806480852028099
391,Theis_no_resource,4,bpi_challenge_2012_o,0.7862336403296171
392,Theis_no_resource,1,bpi_challenge_2012_o,0.786013986013986
393,Theis_no_resource,2,bpi_challenge_2012_o,0.7821591728780957
394,Theis_no_resource,0,bpi_challenge_2012_o,0.783719829626124
395,Theis_no_resource,0,bpi_challenge_2012_complete,0.7478409173379781
396,Theis_no_resource,3,bpi_challenge_2012_complete,0.7505455083398055
397,Theis_no_resource,2,bpi_challenge_2012_complete,0.7556274670175314
398,Theis_no_resource,4,bpi_challenge_2012_complete,0.7548888968919941
399,Theis_no_resource,1,bpi_challenge_2012_complete,0.7541566416490106
400,Theis_no_resource,2,bpi_challenge_2012_w,0.8777529308124957
401,Theis_no_resource,1,bpi_challenge_2012_w,0.8714728633616236
402,Theis_no_resource,4,bpi_challenge_2012_w,0.8502735104327034
403,Theis_no_resource,3,bpi_challenge_2012_w,0.8325155268846721
404,Theis_no_resource,0,bpi_challenge_2012_w,0.8788838714025746
405,Theis_no_resource,0,bpi_challenge_2013_incidents,0.59853515625
406,Theis_no_resource,2,bpi_challenge_2013_incidents,0.5983656174334141
407,Theis_no_resource,4,bpi_challenge_2013_incidents,0.5880161127895267
408,Theis_no_resource,1,bpi_challenge_2013_incidents,0.591922290388548
409,Theis_no_resource,3,bpi_challenge_2013_incidents,0.5934866988544921
410,Theis_no_resource,4,bpi_challenge_2012,0.8342888457971503
411,Theis_no_resource,0,bpi_challenge_2012,0.8300171159606333
412,Theis_no_resource,3,bpi_challenge_2012,0.8124662650862534
413,Theis_no_resource,1,bpi_challenge_2012,0.8335924369747899
414,Theis_no_resource,2,bpi_challenge_2012,0.833907146583203
415,Theis_no_resource,4,sepsis,0.568903173965448
416,Theis_no_resource,3,sepsis,0.5508601346297681
417,Theis_no_resource,1,sepsis,0.5241452238279873
418,Theis_no_resource,2,sepsis,0.5421776291341509
419,Theis_no_resource,0,sepsis,0.6009079653322328
420,Camargo,0,bpi_challenge_2012_w_complete,0.6231549492829661
421,Camargo,1,bpi_challenge_2012_w_complete,0.6643104915243144
422,Camargo,2,bpi_challenge_2012_w_complete,0.7394519969007537
423,Camargo,3,bpi_challenge_2012_w_complete,0.6972352857346444
424,Camargo,4,bpi_challenge_2012_w_complete,0.7231653888280394
425,Camargo,0,bpi_challenge_2013_closed_problems,0.5082335329341318
426,Camargo,1,bpi_challenge_2013_closed_problems,0.5486918604651163
427,Camargo,2,bpi_challenge_2013_closed_problems,0.563953488372093
428,Camargo,3,bpi_challenge_2013_closed_problems,0.5782771535580524
429,Camargo,4,bpi_challenge_2013_closed_problems,0.534357316087308
430,Camargo,0,bpi_challenge_2012_a,0.7426260315385244
431,Camargo,1,bpi_challenge_2012_a,0.7753891771682728
432,Camargo,2,bpi_challenge_2012_a,0.7388503872808806
433,Camargo,3,bpi_challenge_2012_a,0.7789166666666667
434,Camargo,4,bpi_challenge_2012_a,0.7630285152409046
435,Camargo,0,helpdesk,0.8320860617399439
436,Camargo,1,helpdesk,0.8301039697542533
437,Camargo,2,helpdesk,0.8298813125436351
438,Camargo,3,helpdesk,0.8159907300115875
439,Camargo,4,helpdesk,0.8384578997161779
440,Camargo,0,env_permit,0.8452941176470589
441,Camargo,1,env_permit,0.8530259365994236
442,Camargo,2,env_permit,0.8521246458923513
443,Camargo,3,env_permit,0.8759598346131128
444,Camargo,4,env_permit,0.8628266033254157
445,Camargo,0,bpi_challenge_2012_o,0.8194801026957638
446,Camargo,1,bpi_challenge_2012_o,0.8157560355781448
447,Camargo,2,bpi_challenge_2012_o,0.7982157339821574
448,Camargo,3,bpi_challenge_2012_o,0.821467518305032
449,Camargo,4,bpi_challenge_2012_o,0.8127853881278538
450,Camargo,0,bpi_challenge_2012_complete,0.7801122156492041
451,Camargo,1,bpi_challenge_2012_complete,0.7815796632711665
452,Camargo,2,bpi_challenge_2012_complete,0.7773647129365913
453,Camargo,3,bpi_challenge_2012_complete,0.776128652433923
454,Camargo,4,bpi_challenge_2012_complete,0.7812490530589982
